Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_pernoctaciones
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-09-30,108991,315
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-08-31,106643,316
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-07-31,96189,317
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-06-30,97760,318
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-05-31,84751,319
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-04-30,53125,320
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-03-31,34581,321
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-02-28,22598,322
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-01-31,20171,323
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,General,2023-09-30,9100655,324
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,General,2023-08-31,11045064,325
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,General,2023-07-31,10566115,326
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,General,2023-06-30,9098561,327
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,General,2023-05-31,7395731,328
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,General,2023-04-30,3419094,329
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,General,2023-03-31,966435,330
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,General,2023-02-28,476678,331
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,General,2023-01-31,238404,332
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Espana,2023-09-30,654444,333
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Espana,2023-08-31,1076948,334
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Espana,2023-07-31,983814,335
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Espana,2023-06-30,906912,336
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Espana,2023-05-31,596556,337
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Espana,2023-04-30,295818,338
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Espana,2023-03-31,177529,339
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Espana,2023-02-28,102698,340
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Espana,2023-01-31,86019,341
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Extranjero,2023-09-30,8446210,342
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Extranjero,2023-08-31,9968116,343
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Extranjero,2023-07-31,9582302,344
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Extranjero,2023-06-30,8191649,345
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Extranjero,2023-05-31,6799175,346
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Extranjero,2023-04-30,3123276,347
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Extranjero,2023-03-31,788906,348
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Extranjero,2023-02-28,373980,349
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,Extranjero,2023-01-31,152385,350
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,General,2023-09-30,3642792,351
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,General,2023-08-31,4067126,352
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,General,2023-07-31,3901537,353
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,General,2023-06-30,3362609,354
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,General,2023-05-31,3131653,355
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,General,2023-04-30,3377122,356
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,General,2023-03-31,3551774,357
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,General,2023-02-28,3319415,358
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,General,2023-01-31,3448776,359
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Espana,2023-09-30,536075,360
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Espana,2023-08-31,766953,361
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Espana,2023-07-31,653975,362
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Espana,2023-06-30,472173,363
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Espana,2023-05-31,379075,364
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Espana,2023-04-30,398938,365
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Espana,2023-03-31,250573,366
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Espana,2023-02-28,216537,367
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Espana,2023-01-31,259289,368
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Extranjero,2023-09-30,3106718,369
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Extranjero,2023-08-31,3300173,370
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Extranjero,2023-07-31,3247562,371
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Extranjero,2023-06-30,2890436,372
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Extranjero,2023-05-31,2752578,373
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Extranjero,2023-04-30,2978183,374
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Extranjero,2023-03-31,3301201,375
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Extranjero,2023-02-28,3102878,376
Total Nacional,Canarias,Las palmas de gran canaria,Pernoctaciones,Extranjero,2023-01-31,3189488,377
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2023-09-30,2192311,378
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2023-08-31,2435794,379
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2023-07-31,2350298,380
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2023-06-30,2081320,381
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2023-05-31,2013151,382
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2023-04-30,2155461,383
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2023-03-31,2237458,384
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2023-02-28,2156059,385
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2023-01-31,2254623,386
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2023-09-30,394565,387
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2023-08-31,564495,388
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2023-07-31,497941,389
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2023-06-30,382406,390
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2023-05-31,344962,391
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2023-04-30,367875,392
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2023-03-31,293053,393
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2023-02-28,247607,394
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2023-01-31,266529,395
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2023-09-30,1797746,396
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2023-08-31,1871299,397
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2023-07-31,1852357,398
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2023-06-30,1698914,399
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2023-05-31,1668188,400
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2023-04-30,1787586,401
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2023-03-31,1944405,402
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2023-02-28,1908452,403
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2023-01-31,1988094,404
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2023-09-30,324933,405
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2023-08-31,534911,406
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2023-07-31,461710,407
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2023-06-30,305500,408
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2023-05-31,229273,409
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2023-04-30,258037,410
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2023-03-31,138611,411
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2023-02-28,96341,412
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2023-01-31,69549,413
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2023-09-30,236925,414
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2023-08-31,453424,415
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2023-07-31,384918,416
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2023-06-30,229215,417
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2023-05-31,157368,418
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2023-04-30,212101,419
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2023-03-31,110605,420
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2023-02-28,77911,421
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2023-01-31,55806,422
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2023-09-30,88008,423
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2023-08-31,81487,424
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2023-07-31,76792,425
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2023-06-30,76284,426
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2023-05-31,71905,427
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2023-04-30,45936,428
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2023-03-31,28006,429
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2023-02-28,18430,430
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2023-01-31,13742,431
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2023-09-30,60358,432
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2023-08-31,82455,433
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2023-07-31,58763,434
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2023-06-30,51541,435
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2023-05-31,51562,436
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2023-04-30,64364,437
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2023-03-31,45789,438
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2023-02-28,41487,439
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2023-01-31,28847,440
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2023-09-30,50486,441
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2023-08-31,74244,442
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2023-07-31,45680,443
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2023-06-30,43960,444
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2023-05-31,40993,445
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2023-04-30,56765,446
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2023-03-31,39899,447
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2023-02-28,36787,448
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2023-01-31,24546,449
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2023-09-30,9872,450
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2023-08-31,8211,451
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2023-07-31,13083,452
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2023-06-30,7581,453
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2023-05-31,10570,454
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2023-04-30,7599,455
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2023-03-31,5890,456
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2023-02-28,4700,457
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2023-01-31,4301,458
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2023-09-30,143445,459
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2023-08-31,166647,460
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2023-07-31,140493,461
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2023-06-30,121220,462
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2023-05-31,126446,463
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2023-04-30,137029,464
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2023-03-31,96257,465
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2023-02-28,74540,466
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2023-01-31,69070,467
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2023-09-30,86377,468
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2023-08-31,112872,469
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2023-07-31,90121,470
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2023-06-30,77894,471
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2023-05-31,78961,472
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2023-04-30,101720,473
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2023-03-31,77260,474
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2023-02-28,57164,475
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2023-01-31,53929,476
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2023-09-30,57067,477
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2023-08-31,53774,478
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2023-07-31,50372,479
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2023-06-30,43326,480
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2023-05-31,47485,481
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2023-04-30,35309,482
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2023-03-31,18996,483
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2023-02-28,17376,484
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2023-01-31,15141,485
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2023-09-30,148940,486
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2023-08-31,191392,487
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2023-07-31,141002,488
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2023-06-30,130747,489
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2023-05-31,135997,490
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2023-04-30,133073,491
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2023-03-31,86575,492
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2023-02-28,69537,493
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2023-01-31,51783,494
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2023-09-30,98221,495
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2023-08-31,158792,496
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2023-07-31,116080,497
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2023-06-30,95832,498
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2023-05-31,93501,499
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2023-04-30,107589,500
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2023-03-31,76209,501
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2023-02-28,62279,502
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2023-01-31,46050,503
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2023-09-30,50719,504
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2023-08-31,32599,505
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2023-07-31,24922,506
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2023-06-30,34915,507
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2023-05-31,42496,508
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2023-04-30,25483,509
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2023-03-31,10367,510
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2023-02-28,7258,511
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2023-01-31,5732,512
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2023-09-30,43921,513
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2023-08-31,58812,514
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2023-07-31,45876,515
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2023-06-30,37955,516
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2023-05-31,34181,517
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2023-04-30,35497,518
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2023-03-31,26494,519
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2023-02-28,16926,520
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2023-01-31,16378,521
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2023-09-30,33462,522
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2023-08-31,46964,523
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2023-07-31,36984,524
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2023-06-30,32063,525
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2023-05-31,24512,526
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2023-04-30,29519,527
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2023-03-31,23587,528
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2023-02-28,14552,529
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2023-01-31,13645,530
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2023-09-30,10459,531
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2023-08-31,11848,532
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2023-07-31,8892,533
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2023-06-30,5891,534
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2023-05-31,9669,535
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2023-04-30,5978,536
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2023-03-31,2907,537
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2023-02-28,2375,538
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2023-01-31,2734,539
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2023-09-30,187885,540
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2023-08-31,202360,541
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2023-07-31,155405,542
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2023-06-30,145361,543
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2023-05-31,153516,544
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2023-04-30,176032,545
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2023-03-31,128911,546
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2023-02-28,105104,547
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2023-01-31,89992,548
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2023-09-30,138127,549
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2023-08-31,141542,550
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2023-07-31,100326,551
